iterations,threads,run,mutex_time,rwlock_time,atomic_time
10000000,1,1,0.159904,0.263944,0.050542
10000000,1,2,0.154616,0.263569,0.050979
10000000,1,3,0.153748,0.264615,0.050604
10000000,1,4,0.153017,0.264497,0.051358
10000000,2,1,0.635248,1.693850,0.677053
10000000,2,2,0.941922,1.843630,0.648982
10000000,2,3,0.702587,1.538412,0.580197
10000000,2,4,0.807770,1.737026,0.644496
10000000,4,1,1.764809,4.027180,1.236020
10000000,4,2,1.755417,3.939645,1.263228
10000000,4,3,1.751105,4.214800,1.222638
10000000,4,4,1.580695,4.192165,1.248629
10000000,8,1,3.390630,21.006173,2.527657
10000000,8,2,3.406704,27.962629,2.549010
10000000,8,3,3.135144,25.581364,2.521197
10000000,8,4,3.404703,19.802953,2.516046
